Year,pdf_name,Aggregated_Context,Hit_Count,Auto_Priority_Score,KEEP(1)_or_EXCLUDE(0)
2002,nime2002_Oboe.pdf,"...s performed on the  real system. So far, grand piano action, [HARPSICHORD] and  Hammond organ have been implemented successfully on  th... 

 ...r instance, the interaction  with different instruments like [HARPSICHORD] , piano or pipe  organ give to the player the same haptic in... 

 ...ar, the instruments to be emulated are the grand  piano, the [HARPSICHORD] and the Hammond organ. Given  the previous consideration, it... 

 ... time. The three models  considered are the grand piano, the [HARPSICHORD] and the  Hammond organ.    Grand piano action  The grand pia... 

 ...umming the above described contribution is  quite realistic. [HARPSICHORD] Harpsichord mechanism is shown in Fig.6. When the key  is pr... 

 ...e described contribution is  quite realistic.    Harpsichord [HARPSICHORD] mechanism is shown in Fig.6. When the key  is pressed, one o... 

 ...is ready to pluck the  string again. The haptic feedback for [HARPSICHORD] is very  similar to the escapement in grand piano, with a  p... 

 ...ated by the actuator in the  MIKEY system when emulating the [HARPSICHORD] is  obtained by a model as in Fig.4, where thresholds and  f...",76,1093.3445564426404,1
2025,nime2025_61.pdf,"...Augmentation of a Historical [HARPSICHORD] Keyboard Replica for Haptic-Enabled Interaction in Museum Ex... 

 ...ologna, Italy michele.ducceschi@unibo.it Roberto Livi Master [HARPSICHORD] Maker Pesaro, Italy robertvs.livi@gmail.com Catalina Vicens ... 

 ...ngdom andrew.mcpherson@imperial.ac.uk Figure 1: 49-key Model [HARPSICHORD] Mechanism by Roberto Livi, Bologna 2024 Abstract This paper ... 

 ...ation of an electronically augmented replica of a historical [HARPSICHORD] keyboard with a typical 17th-century Italian layout to creat... 

 ...wo commercially available keyboards mimicking the two-manual [HARPSICHORD] layout, was used by visitors to trigger the instrument sampl... 

 ...research tool to explore the unique char- acteristics of the [HARPSICHORD] and its impact on performance through the ERC-funded NEMUS p... 

 ...tween instrument and performer. Augmentation of a Historical [HARPSICHORD] Keyboard Replica for Haptic-Enabled Interaction in Museum Ex... 

 ...design, shown in Figures 1 and 2, is a 49-key, two- register [HARPSICHORD] keyboard replica. Since the Tagliavini collec- tion hosts pr...",103,945.094215278874,1
2021,nime2021_44.pdf,"...International Conference on New [INTERFACES] for Musical Expression An In... 

 ...national License (CC-BY 4.0) International Conference on New [INTERFACES] for Musical Expression An In... 

 ...uting; Performing arts;  •Hardware → Communication hardware, [INTERFACES] and storage → Sensors and  actuators Introduction For over t... 

 ...to find the nodal lines [4]. International Conference on New [INTERFACES] for Musical Expression An In... 

 ...the electromagnets. Related  International Conference on New [INTERFACES] for Musical Expression An In... 

 ...f i n i t e  s u s t a i n . International Conference on New [INTERFACES] for Musical Expression An In... 

 ...In [INTERFACE] to 50 Watts Facmogu F900 Power Amplifier  where it is then s... 

 ...f  a  t e n s i o n  r o d . International Conference on New [INTERFACES] for Musical Expression An In...",96,862.1903223764656,1
2010,nime2010_McPherson.pdf,"...without ampliﬁcation. Keywords Augmented instruments, piano, [INTERFACES] , electromagnetic actuation, gesture measurement 1. INTRODUC... 

 ...permits horizontal Proceedings of the 2010 Conference on New [INTERFACES] for Musical Expression (NIME 2010), Sydney, Australia 217 mo... 

 ... of each key and touch sensitivity on the key surface. These [INTERFACES] build on established keyboard technique to allow control of ... 

 ...tuators can be covered using an inexpensive commercial audio [INTERFACE] , with the maximum polyphony determined by the number of DAC... 

 ...st and complexity. Proceedings of the 2010 Conference on New [INTERFACES] for Musical Expression (NIME 2010), Sydney, Australia 218 PL... 

 ...rd piano note, C4. Proceedings of the 2010 Conference on New [INTERFACES] for Musical Expression (NIME 2010), Sydney, Australia 219 • ... 

 ... her taste. To that end, we have created a new per- formance [INTERFACE] which intuitively extends the keyboard to allow continuous e... 

 ...y intuitive manner. 4.1 Hardware Design We have developed an [INTERFACE] which continuously records key position on the acoustic pian...",122,835.4520553332949,1
2014,nime2014_pvandertorren1.pdf,"...ce I was young, and while the reason to switch from piano to [ACCORDION] was mainly to play something more portable, another aspect c... 

 ...tion of the buttons is more or less free, like on organs and [ACCORDIONS] , attracted experiments, and the development of electronic i... 

 ... layout dates back from 1850, when the ﬁrst chromatic button [ACCORDION] was made [5]. This layout however is not tuning invari- ant,... 

 ... the right side. The spacing is equal to the bass side of an [ACCORDION] . For accordion players the spacing should feel fa- miliar, ... 

 .... The spacing is equal to the bass side of an accordion. For [ACCORDION] players the spacing should feel fa- miliar, just as the orde... 

 ...rience with the DCompose layout is ob- tained with a modiﬁed [ACCORDION] (ﬁgure 8), which is being used with great pleasure by the au... 

 ...more thinking ahead is needed to play smoothly. For me as an [ACCORDION] player the separa- tion between the two hands feels natural,... 

 ...puter Music Journal , 22(1):30–48, 1998. [5] G. Hermosa. The [ACCORDION] in the 19th century . Editorial Kattigara, 2013. [6] R. Jone...",106,831.7757864716496,1
2015,nime2015_pdahlstedt.pdf,"...ds as source material for the processing, such as celesta or [HARPSICHORD] , and independent control of the source volume, it also has ... 

 ...anos rarely sound good through stage speakers, ce- lesta and [HARPSICHORD] have often been used, but also bells and organs. These timbr... 

 ...he mapping technique, originally developed for other control [INTERFACES] but here adapted to the piano keyboard, is based on a dynami... 

 ...formance, improvisation ACM Classiﬁcation H.5.5 [Information [INTERFACES] and Presentation] Sound and Music Computing H.5.2 [Informati... 

 ...d Presentation] Sound and Music Computing H.5.2 [Information [INTERFACES] and Presen- tation] User Interfaces — Auditory (non-speech) ... 

 ...uting H.5.2 [Information Interfaces and Presen- tation] User [INTERFACES] — Auditory (non-speech) feedback 1. INTRODUCTION During the ... 

 ...ted in a family of synthesis-based instruments using various [INTERFACES] and playing styles, e.g. instruments using arrays of pressur... 

 ...cs is 271 Proceedings of the International Conference on New [INTERFACES] for Musical Expression, Baton Rouge, LA, USA, May 31-June 3,...",115,730.6579213972071,1
2013,nime2013_McPherson.pdf,"...cate with one another through a shared high-speed SPI serial [INTERFACE] . The board at the top register of the piano acts as the mas... 

 ...2. [17] R. A. Moog and T. L. Rhea. Evolution of the keyboard [INTERFACE] : The B ¨osendorfer 290 SE recording piano and the Moog mult... 

 ... rate. Software extracts tradi- tional and novel features of [KEYBOARD] touch from each note, which can be ﬂexibly mapped to sound u... 

 ... using continuous key position measurements. Keywords Piano, [KEYBOARD] , optical sensing, gesture sensing, visual feedback, mapping... 

 ...on- ics require the instrument to provide MIDI data from the [KEYBOARD] and sometimes MIDI hammer actuation [18], but few concert ve... 

 ...erformance. An optical sensor strip rests at the back of the [KEYBOARD] , generating MIDI data in response to key motion. Discontinu... 

 ...portable, detailed sensing of the performer’s actions at the [KEYBOARD] . The Permission to make digital or hard copies of all or pa... 

 ...ical sensor system by MIDI9 and QRS Music installs under the [KEYBOARD] of an existing piano, measuring key angle by reﬂectance oﬀ t...",82,713.8531203000457,1
2025,nime2025_6.pdf,"...rienced with keyboards to gather preliminary feedback on the [INTERFACE] ’s ease of use for performance. Keywords XRMI, XR, Microtone... 

 ...ilitate the exploration of microtonality. Hirai developed an [INTERFACE] for designing custom scales and piano rolls [11]. Tools like... 

 ...ugh XR to create a tangible, yet fully customizable keyboard [INTERFACE] , focusing on the potential for arbitrary key layouts and mi... 

 ...a- keying, remaining pressable. Figure 4: Temperament design [INTERFACE] (adapted from Hirai, 2022 [11]) used for changing the number... 

 ...er octave and their specific pitches are configured using an [INTERFACE] based on Hirai’s scale design tool [11] (Figure 4). This int... 

 ...ace based on Hirai’s scale design tool [11] (Figure 4). This [INTERFACE] allows users to add or remove keys within an octave and adju... 

 ...read 4 Has tried but cannot play Can read a little Figure 5: [INTERFACE] used for comparison (control condition), simulating a standa... 

 ...Participants played each melody on both the 6-key and 12-key [INTERFACES] . They first listened to the melody, then attempted to play ...",145,701.625671319219,1
2016,nime2016_Meacham.pdf,"...The Laptop [ACCORDION] Aidan Meacham CCRMA Stanford University 660 Lomita Drive Sta... 

 ... 94305 ge@ccrma.stanford.edu Figure 1: Is it a laptop, or an [ACCORDION] ? ABSTRACT The“Laptop Accordion”co-opts the commodity laptop... 

 ...gure 1: Is it a laptop, or an accordion? ABSTRACT The“Laptop [ACCORDION] ”co-opts the commodity laptop com- puter to craft an express... 

 ...ommodity laptop com- puter to craft an expressive, whimsical [ACCORDION] -like instru- ment. It utilizes the opening and closing of t... 

 ... and closing of the laptop screen as a physical metaphor for [ACCORDION] bellows, and the lap- top keyboard as a musical buttonboard.... 

 ... closing a laptop to that of an ac- 236 Figure 2: The Laptop [ACCORDION] (LA) tracks the opening and closing of the laptop screen as ... 

 ... a phys- ical metaphor for the stretching and compression of [ACCORDION] bellows and the keyboard as a but- tonboard. These inputs ar... 

 ...er or for worse, it seems somebody should have made a laptop [ACCORDION] by now!) As Perry Cook pointed out, “existing instruments su...",72,701.3479437727442,1
2013,nime2013_Park_a.pdf,"...Rainboard and Musix: Building dynamic isomorphic [INTERFACES] Brett Park University of Regina 3737 Wascana Parkway Regina,... 

 ...onal isomorphism. Musix can also be used as a con- ﬁguration [INTERFACE] /synthesizer for the Rainboard. Both Musix and the Rainboard... 

 ...phic layouts unless otherwise stated. 2. EXISTING ISOMORPHIC [INTERFACES] Isomorphic layouts have been around for hundreds of years, o... 

 ...ed app such as NLog Synth Pro 5 or Sampletank6. The USB midi [INTERFACE] on the Rainboard can also be connected to any standard usb-e... 

 ... an install base of over 23,789 devices. Figure 3: The Musix [INTERFACE] . 4.1.1 Touch to Hexagon Algorithm Since Musix Pro is a musi... 

 ...In order to provide an eﬀective, eﬃcient and expressive user [INTERFACE] for layout conﬁguration, we employed a soft- ware solution. ... 

 ...ard has 61 arcade-style buttons and 61 RGB LEDs. In order to [INTERFACE] these buttons and lights with the arduino, additional hardwa... 

 ...nterpret button-press infor- mation, and a Serial Peripheral [INTERFACE] (SPI) bus to drive the LEDs as a chain. An accelerometer int...",146,674.7543425007584,1
