Year,pdf_name,ID,title,author,keywords,abstract,doi,bibtex
2002,nime2002_Oboe.pdf,nime2002_Oboe,Multi-instrument Virtual Keyboard -- The MIKEY Project,"Oboe, Roberto and De Poli, Giovanni","Virtual mechanisms, dynamic simulation","The design of a virtual keyboard, capable of reproducing the tactile feedback of several musical instruments is reported. The key is driven by a direct drive motor, which allows friction free operations. The force to be generated by the motor is calculated in real time by a dynamic simulator, which contains the model of mechanisms' components and constraints. Each model is tuned on the basis of measurements performed on the real system. So far, grand piano action, harpsichord and Hammond organ have been implemented successfully on the system presented here. ",10.5281/zenodo.1176452,"@inproceedings{nime2002_Oboe,
 abstract = {The design of a virtual keyboard, capable of reproducing the tactile feedback of several musical instruments is reported. The key is driven by a direct drive motor, which allows friction free operations. The force to be generated by the motor is calculated in real time by a dynamic simulator, which contains the model of mechanisms' components and constraints. Each model is tuned on the basis of measurements performed on the real system. So far, grand piano action, harpsichord and Hammond organ have been implemented successfully on the system presented here. },
 address = {Dublin, Ireland},
 author = {Oboe, Roberto and De Poli, Giovanni},
 booktitle = {Proceedings of the International Conference on New Interfaces for Musical Expression},
 date = {24-26 May, 2002},
 doi = {10.5281/zenodo.1176452},
 issn = {2220-4806},
 keywords = {Virtual mechanisms, dynamic simulation},
 pages = {137--142},
 title = {Multi-instrument Virtual Keyboard -- The MIKEY Project},
 url = {http://www.nime.org/proceedings/2002/nime2002_137.pdf},
 year = {2002}
}
"
2025,nime2025_61.pdf,nime2025_61,Augmentation of a Historical Harpsichord Keyboard Replica for Haptic-Enabled Interaction in Museum Exhibitions,Matthew Hamilton and Michele Ducceschi and Roberto Livi and Catalina Vicens and Andrew McPherson,,"This paper describes the design and creation of an electronically augmented replica of a historical harpsichord keyboard with a typical 17th-century Italian layout to create a digital musical instrument. The keyboard was commissioned for exhibition in a musical instrument museum to enhance the visitor experience by providing an interface to digitised versions of instruments within the collection. The replica balances the competing demands of historical authenticity, public accessibility, and preservation. It replicates the original instrument’s tactile feedback and mechanical resistance using historically informed construction techniques. Optical sensors integrated within the mechanism capture the jacks’ motion data, enabling MIDI message generation. This work situates itself within broader discussions on the role of technology in museums. A keyboard interface of this type offers an opportunity to enhance visitor interaction with musical heritage while safeguarding delicate artefacts. The paper examines the keyboard’s design principles, technical implementation, and implications, emphasising its contribution to public engagement and the long-term preservation of musical heritage.",10.5281/zenodo.15698916,"@inproceedings{nime2025_61,
 abstract = {This paper describes the design and creation of an electronically augmented replica of a historical harpsichord keyboard with a typical 17th-century Italian layout to create a digital musical instrument. The keyboard was commissioned for exhibition in a musical instrument museum to enhance the visitor experience by providing an interface to digitised versions of instruments within the collection. The replica balances the competing demands of historical authenticity, public accessibility, and preservation. It replicates the original instrument’s tactile feedback and mechanical resistance using historically informed construction techniques. Optical sensors integrated within the mechanism capture the jacks’ motion data, enabling MIDI message generation. This work situates itself within broader discussions on the role of technology in museums. A keyboard interface of this type offers an opportunity to enhance visitor interaction with musical heritage while safeguarding delicate artefacts. The paper examines the keyboard’s design principles, technical implementation, and implications, emphasising its contribution to public engagement and the long-term preservation of musical heritage.},
 address = {Canberra, Australia},
 articleno = {61},
 author = {Matthew Hamilton and Michele Ducceschi and Roberto Livi and Catalina Vicens and Andrew McPherson},
 booktitle = {Proceedings of the International Conference on New Interfaces for Musical Expression},
 doi = {10.5281/zenodo.15698916},
 editor = {Doga Cavdir and Florent Berthaut},
 issn = {2220-4806},
 month = {June},
 numpages = {8},
 pages = {424--431},
 title = {Augmentation of a Historical Harpsichord Keyboard Replica for Haptic-Enabled Interaction in Museum Exhibitions},
 track = {Paper},
 url = {http://nime.org/proceedings/2025/nime2025_61.pdf},
 year = {2025}
}
"
2021,nime2021_44.pdf,nime2021_44,An Infinitely Sustaining Piano Achieved Through a Soundboard-Mounted Shaker  ,"Thompson, William and Berdahl, Edgar",,"This paper outlines a demonstration of an acoustic piano augmentation that allows for infinite sustain of one or many notes. The result is a natural sounding piano sustain that lasts for an unnatural period of time. Using a tactile shaker, a contact microphone and an amplitude activated FFT-freeze Max patch, this system is easily assembled and creates an infinitely sustaining piano.",10.21428/92fbeb44.2c4879f5,"@inproceedings{nime2021_44,
 abstract = {This paper outlines a demonstration of an acoustic piano augmentation that allows for infinite sustain of one or many notes. The result is a natural sounding piano sustain that lasts for an unnatural period of time. Using a tactile shaker, a contact microphone and an amplitude activated FFT-freeze Max patch, this system is easily assembled and creates an infinitely sustaining piano.},
 address = {Shanghai, China},
 articleno = {44},
 author = {Thompson, William and Berdahl, Edgar},
 booktitle = {Proceedings of the International Conference on New Interfaces for Musical Expression},
 doi = {10.21428/92fbeb44.2c4879f5},
 issn = {2220-4806},
 month = {June},
 presentation-video = {https://youtu.be/YRby0VdL8Nk},
 title = {An Infinitely Sustaining Piano Achieved Through a Soundboard-Mounted Shaker  },
 url = {https://nime.pubpub.org/pub/cde9r70r},
 year = {2021}
}
"
2010,nime2010_McPherson.pdf,nime2010_McPherson,Augmenting the Acoustic Piano with Electromagnetic String Actuation and Continuous Key Position Sensing,"McPherson, Andrew and Kim, Youngmoo","Augmented instruments, piano, interfaces, electromagnetic actuation, gesture measurement","This paper presents the magnetic resonator piano, an augmented instrument enhancing the capabilities of the acoustic grand piano. Electromagnetic actuators induce the stringsto vibration, allowing each note to be continuously controlled in amplitude, frequency, and timbre without external loudspeakers. Feedback from a single pickup on thepiano soundboard allows the actuator waveforms to remainlocked in phase with the natural motion of each string. Wealso present an augmented piano keyboard which reportsthe continuous position of every key. Time and spatial resolution are sufficient to capture detailed data about keypress, release, pretouch, aftertouch, and other extended gestures. The system, which is designed with cost and setupconstraints in mind, seeks to give pianists continuous control over the musical sound of their instrument. The instrument has been used in concert performances, with theelectronically-actuated sounds blending with acoustic instruments naturally and without amplification.",10.5281/zenodo.1177849,"@inproceedings{nime2010_McPherson,
 abstract = {This paper presents the magnetic resonator piano, an augmented instrument enhancing the capabilities of the acoustic grand piano. Electromagnetic actuators induce the stringsto vibration, allowing each note to be continuously controlled in amplitude, frequency, and timbre without external loudspeakers. Feedback from a single pickup on thepiano soundboard allows the actuator waveforms to remainlocked in phase with the natural motion of each string. Wealso present an augmented piano keyboard which reportsthe continuous position of every key. Time and spatial resolution are sufficient to capture detailed data about keypress, release, pretouch, aftertouch, and other extended gestures. The system, which is designed with cost and setupconstraints in mind, seeks to give pianists continuous control over the musical sound of their instrument. The instrument has been used in concert performances, with theelectronically-actuated sounds blending with acoustic instruments naturally and without amplification.},
 address = {Sydney, Australia},
 author = {McPherson, Andrew and Kim, Youngmoo},
 booktitle = {Proceedings of the International Conference on New Interfaces for Musical Expression},
 doi = {10.5281/zenodo.1177849},
 issn = {2220-4806},
 keywords = {Augmented instruments, piano, interfaces, electromagnetic actuation, gesture measurement},
 pages = {217--222},
 title = {Augmenting the Acoustic Piano with Electromagnetic String Actuation and Continuous Key Position Sensing},
 url = {http://www.nime.org/proceedings/2010/nime2010_217.pdf},
 year = {2010}
}
"
2014,nime2014_pvandertorren1.pdf,nime2014_pvandertorren1,"Striso, a Compact Expressive Instrument Based on a New Isomorphic Note Layout",Piers Titus van der Torren,,"The Striso is a new expressive music instrument with an acoustic feel, which is designed to be intuitive to play and playable everywhere. The sound of every note can be precisely controlled using the direction and pressure sensitive buttons, combined with instrument motion like tilting or shaking. It works standalone, with an internal speaker and battery, and is meant as a self contained instrument with its own distinct sound, but can also be connected to a computer to control other synthesizers. The notes are arranged in an easy and systematic way, according to the new DCompose note layout that is also presented in this paper. The DCompose note layout is designed to be compact, ergonomic, easy to learn, and closely bound to the harmonic properties of the notes.",10.5281/zenodo.1178957,"@inproceedings{nime2014_pvandertorren1,
 abstract = {The Striso is a new expressive music instrument with an acoustic feel, which is designed to be intuitive to play and playable everywhere. The sound of every note can be precisely controlled using the direction and pressure sensitive buttons, combined with instrument motion like tilting or shaking. It works standalone, with an internal speaker and battery, and is meant as a self contained instrument with its own distinct sound, but can also be connected to a computer to control other synthesizers. The notes are arranged in an easy and systematic way, according to the new DCompose note layout that is also presented in this paper. The DCompose note layout is designed to be compact, ergonomic, easy to learn, and closely bound to the harmonic properties of the notes.},
 address = {London, United Kingdom},
 author = {Piers Titus van der Torren},
 booktitle = {Proceedings of the International Conference on New Interfaces for Musical Expression},
 doi = {10.5281/zenodo.1178957},
 issn = {2220-4806},
 month = {June},
 pages = {615--620},
 publisher = {Goldsmiths, University of London},
 title = {Striso, a Compact Expressive Instrument Based on a New Isomorphic Note Layout},
 url = {http://www.nime.org/proceedings/2014/nime2014_442.pdf},
 year = {2014}
}
"
2015,nime2015_pdahlstedt.pdf,nime2015_pdahlstedt,Mapping Strategies and Sound Engine Design for an Augmented Hybrid Piano,Palle Dahlstedt,,"Based on a combination of novel mapping techniques and carefully designed sound engines, I present an augmented hybrid piano specifically designed for improvisation. The mapping technique, originally developed for other control interfaces but here adapted to the piano keyboard, is based on a dynamic vectorization of control parameters, allowing both wild sonic exploration and minute intimate expression. The original piano sound is used as the sole sound source, subjected to processing techniques such as virtual resonance strings, dynamic buffer shuffling, and acoustic and virtual feedback. Thanks to speaker and microphone placement, the acoustic and processed sounds interact in both directions and blend into one new instrument. This also allows for unorthodox playing (knocking, plucking, shouting). Processing parameters are controlled from the keyboard playing alone, allowing intuitive control of complex processing by ear, integrating expressive musical playing with sonic exploration. The instrument is not random, but somewhat unpredictable. This feeds into the improvisation, defining a particular idiomatics of the instruments. Hence, the instrument itself is an essential part of the musical work. Performances include concerts in UK, Japan, Singapore, Australia and Sweden, in solos and ensembles, performed by several pianists. Variations of this hybrid instrument for digital keyboards are also presented.",10.5281/zenodo.1179046,"@inproceedings{nime2015_pdahlstedt,
 abstract = {Based on a combination of novel mapping techniques and carefully designed sound engines, I present an augmented hybrid piano specifically designed for improvisation. The mapping technique, originally developed for other control interfaces but here adapted to the piano keyboard, is based on a dynamic vectorization of control parameters, allowing both wild sonic exploration and minute intimate expression. The original piano sound is used as the sole sound source, subjected to processing techniques such as virtual resonance strings, dynamic buffer shuffling, and acoustic and virtual feedback. Thanks to speaker and microphone placement, the acoustic and processed sounds interact in both directions and blend into one new instrument. This also allows for unorthodox playing (knocking, plucking, shouting). Processing parameters are controlled from the keyboard playing alone, allowing intuitive control of complex processing by ear, integrating expressive musical playing with sonic exploration. The instrument is not random, but somewhat unpredictable. This feeds into the improvisation, defining a particular idiomatics of the instruments. Hence, the instrument itself is an essential part of the musical work. Performances include concerts in UK, Japan, Singapore, Australia and Sweden, in solos and ensembles, performed by several pianists. Variations of this hybrid instrument for digital keyboards are also presented.},
 address = {Baton Rouge, Louisiana, USA},
 author = {Palle Dahlstedt},
 booktitle = {Proceedings of the International Conference on New Interfaces for Musical Expression},
 doi = {10.5281/zenodo.1179046},
 editor = {Edgar Berdahl and Jesse Allison},
 issn = {2220-4806},
 month = {May},
 pages = {271--276},
 publisher = {Louisiana State University},
 title = {Mapping Strategies and Sound Engine Design for an Augmented Hybrid Piano},
 url = {http://www.nime.org/proceedings/2015/nime2015_170.pdf},
 urlsuppl1 = {http://www.nime.org/proceedings/2015/170/0170-file1.zip},
 year = {2015}
}
"
2013,nime2013_McPherson.pdf,nime2013_McPherson,Portable Measurement and Mapping of Continuous Piano Gesture,Andrew McPherson,"Piano, keyboard, optical sensing, gesture sensing, visual feedback, mapping, magnetic resonator piano","This paper presents a portable optical measurement system for capturingcontinuous key motion on any piano. Very few concert venues have MIDI-enabledpianos, and many performers depend on the versatile but discontinued MoogPianoBar to provide MIDI from a conventional acoustic instrument. The scannerhardware presented in this paper addresses the growing need for alternativesolutions while surpassing existing systems in the level of detail measured.Continuous key position on both black and white keys is gathered at 1kHz samplerate. Software extracts traditional and novel features of keyboard touch fromeach note, which can be flexibly mapped to sound using MIDI or Open SoundControl. RGB LEDs provide rich visual feedback to assist the performer ininteracting with more complex sound mapping arrangements. An application ispresented to the magnetic resonator piano, an electromagnetically-augmentedacoustic grand piano which is performed using continuous key positionmeasurements.",10.5281/zenodo.1178610,"@inproceedings{nime2013_McPherson,
 abstract = {This paper presents a portable optical measurement system for capturingcontinuous key motion on any piano. Very few concert venues have MIDI-enabledpianos, and many performers depend on the versatile but discontinued MoogPianoBar to provide MIDI from a conventional acoustic instrument. The scannerhardware presented in this paper addresses the growing need for alternativesolutions while surpassing existing systems in the level of detail measured.Continuous key position on both black and white keys is gathered at 1kHz samplerate. Software extracts traditional and novel features of keyboard touch fromeach note, which can be flexibly mapped to sound using MIDI or Open SoundControl. RGB LEDs provide rich visual feedback to assist the performer ininteracting with more complex sound mapping arrangements. An application ispresented to the magnetic resonator piano, an electromagnetically-augmentedacoustic grand piano which is performed using continuous key positionmeasurements.},
 address = {Daejeon, Republic of Korea},
 author = {Andrew McPherson},
 booktitle = {Proceedings of the International Conference on New Interfaces for Musical Expression},
 doi = {10.5281/zenodo.1178610},
 issn = {2220-4806},
 keywords = {Piano, keyboard, optical sensing, gesture sensing, visual feedback, mapping, magnetic resonator piano},
 month = {May},
 pages = {152--157},
 publisher = {Graduate School of Culture Technology, KAIST},
 title = {Portable Measurement and Mapping of Continuous Piano Gesture},
 url = {http://www.nime.org/proceedings/2013/nime2013_240.pdf},
 year = {2013}
}
"
2025,nime2025_6.pdf,nime2025_6,XR Musical Keyboard: An Extended Reality Keyboard with an Arbitrary Number of Keys and Pitches,Tatsunori Hirai and Jack Topliss and Thammathip Piumsomboon,,"We introduce the Extended Reality (XR) Musical Keyboard, a system allowing users to overlay a virtual keyboard onto a tabletop surface, such as a standard PC keyboard. This virtual keyboard is highly customizable: users can freely program the number of keys and their respective pitches. Modern software instruments offer advanced capabilities, including microtonal scales (pitches outside the standard 12-tone equal temperament). However, playing these instruments often remains challenging due to the lack of corresponding physical hardware. Our proposed solution addresses this gap by projecting a programmable virtual keyboard onto a tangible object within the XR space. This approach combines the software's flexibility with the tactile feedback of a physical surface, enhancing playability. Users can simplify the keyboard layout (e.g., fewer keys than a piano) or expand it beyond conventional limits to explore new expressive possibilities, particularly for microtonal music. We conducted a small pilot study (N=4) involving participants mostly inexperienced with keyboards to gather preliminary feedback on the interface's ease of use for performance.",10.5281/zenodo.15698784,"@inproceedings{nime2025_6,
 abstract = {We introduce the Extended Reality (XR) Musical Keyboard, a system allowing users to overlay a virtual keyboard onto a tabletop surface, such as a standard PC keyboard. This virtual keyboard is highly customizable: users can freely program the number of keys and their respective pitches. Modern software instruments offer advanced capabilities, including microtonal scales (pitches outside the standard 12-tone equal temperament). However, playing these instruments often remains challenging due to the lack of corresponding physical hardware. Our proposed solution addresses this gap by projecting a programmable virtual keyboard onto a tangible object within the XR space. This approach combines the software's flexibility with the tactile feedback of a physical surface, enhancing playability. Users can simplify the keyboard layout (e.g., fewer keys than a piano) or expand it beyond conventional limits to explore new expressive possibilities, particularly for microtonal music. We conducted a small pilot study (N=4) involving participants mostly inexperienced with keyboards to gather preliminary feedback on the interface's ease of use for performance.},
 address = {Canberra, Australia},
 articleno = {6},
 author = {Tatsunori Hirai and Jack Topliss and Thammathip Piumsomboon},
 booktitle = {Proceedings of the International Conference on New Interfaces for Musical Expression},
 doi = {10.5281/zenodo.15698784},
 editor = {Doga Cavdir and Florent Berthaut},
 issn = {2220-4806},
 month = {June},
 numpages = {6},
 pages = {40--45},
 title = {XR Musical Keyboard: An Extended Reality Keyboard with an Arbitrary Number of Keys and Pitches},
 track = {Paper},
 url = {http://nime.org/proceedings/2025/nime2025_6.pdf},
 year = {2025}
}
"
2016,nime2016_Meacham.pdf,nime2016_Meacham,The Laptop Accordion,Aidan Meacham and Sanjay Kannan and Ge Wang,,"The `Laptop Accordion' co-opts the commodity laptop
computer
to craft an expressive, whimsical accordion-like instrument.
It utilizes the opening and closing of the laptop
screen as a physical metaphor for accordion bellows, and the
laptop keyboard as musical buttonboard. Motion is tracked
using the laptop camera via optical flow and mapped to continuous
control over dynamics, while the sound is generated
in real-time. The instrument uses both skeuomorphic and
abstract onscreen graphics which further reference the core
mechanics of `squeezebox' instruments. The laptop accordion
provides several game modes, while overall offering an
unconventional aesthetic experience in music making.",10.5281/zenodo.1176078,"@inproceedings{nime2016_Meacham,
 abstract = {The `Laptop Accordion' co-opts the commodity laptop
computer
to craft an expressive, whimsical accordion-like instrument.
It utilizes the opening and closing of the laptop
screen as a physical metaphor for accordion bellows, and the
laptop keyboard as musical buttonboard. Motion is tracked
using the laptop camera via optical flow and mapped to continuous
control over dynamics, while the sound is generated
in real-time. The instrument uses both skeuomorphic and
abstract onscreen graphics which further reference the core
mechanics of `squeezebox' instruments. The laptop accordion
provides several game modes, while overall offering an
unconventional aesthetic experience in music making.},
 address = {Brisbane, Australia},
 author = {Aidan Meacham and Sanjay Kannan and Ge Wang},
 booktitle = {Proceedings of the International Conference on New Interfaces for Musical Expression},
 doi = {10.5281/zenodo.1176078},
 isbn = {978-1-925455-13-7},
 issn = {2220-4806},
 pages = {236--240},
 publisher = {Queensland Conservatorium Griffith University},
 title = {The Laptop Accordion},
 track = {Papers},
 url = {http://www.nime.org/proceedings/2016/nime2016_paper0047.pdf},
 year = {2016}
}
"
2013,nime2013_Park_a.pdf,nime2013_Park_a,Rainboard and Musix: Building dynamic isomorphic interfaces,Brett Park and David Gerhard,"isomorphic, mobile application, hexagon, keyboard","Since Euler's development of the Tonnetz in 1739, musicians, composers and instrument designers have been fascinated with the concept of musicalisomorphism, the idea that by arranging tones by their harmonic relationships rather than by their physical properties, the common shapes of musical constructs will appear, facilitating learning and new ways of exploring harmonic spaces. The construction of isomorphic instruments, beyond limited square isomorphisms present in many stringed instruments, has been a challenge in the past for two reasons: The first problem, that of re-arranging note actuators from their sounding elements, has been solved by digital instrument design. The second, more conceptual problem, is that only a single isomorphism can be designed for any one instrument, requiring the instrument designer (as well as composer and performer) to ""lock in"" to a single isomorphism, or to have a different instrument for each isomorphism in order to experiment. Musix (an iOS application) and Rainboard (a physical device) are two new musical instruments built to overcome this and other limitations of existing isomorphic instruments. Musix was developed to allow experimentation with a wide variety of different isomorphic layouts, to assess the advantages and disadvantages of each. The Rainboard consists of a hexagonal array of arcade buttons embedded with RGB-LEDs, which are used to indicate characteristics of the isomorphism currently in use on the Rainboard. The creation of these two instruments/experimentation platforms allows for isomorphic layouts to be explored in waysthat are not possible with existing instruments.",10.5281/zenodo.1178632,"@inproceedings{nime2013_Park_a,
 abstract = {Since Euler's development of the Tonnetz in 1739, musicians, composers and instrument designers have been fascinated with the concept of musicalisomorphism, the idea that by arranging tones by their harmonic relationships rather than by their physical properties, the common shapes of musical constructs will appear, facilitating learning and new ways of exploring harmonic spaces. The construction of isomorphic instruments, beyond limited square isomorphisms present in many stringed instruments, has been a challenge in the past for two reasons: The first problem, that of re-arranging note actuators from their sounding elements, has been solved by digital instrument design. The second, more conceptual problem, is that only a single isomorphism can be designed for any one instrument, requiring the instrument designer (as well as composer and performer) to ""lock in"" to a single isomorphism, or to have a different instrument for each isomorphism in order to experiment. Musix (an iOS application) and Rainboard (a physical device) are two new musical instruments built to overcome this and other limitations of existing isomorphic instruments. Musix was developed to allow experimentation with a wide variety of different isomorphic layouts, to assess the advantages and disadvantages of each. The Rainboard consists of a hexagonal array of arcade buttons embedded with RGB-LEDs, which are used to indicate characteristics of the isomorphism currently in use on the Rainboard. The creation of these two instruments/experimentation platforms allows for isomorphic layouts to be explored in waysthat are not possible with existing instruments.},
 address = {Daejeon, Republic of Korea},
 author = {Brett Park and David Gerhard},
 booktitle = {Proceedings of the International Conference on New Interfaces for Musical Expression},
 doi = {10.5281/zenodo.1178632},
 issn = {2220-4806},
 keywords = {isomorphic, mobile application, hexagon, keyboard},
 month = {May},
 pages = {319--324},
 publisher = {Graduate School of Culture Technology, KAIST},
 title = {Rainboard and Musix: Building dynamic isomorphic interfaces},
 url = {http://www.nime.org/proceedings/2013/nime2013_65.pdf},
 year = {2013}
}
"
